method,seed,train_size,r,K,h,time,rmseC,rmseC_alg,f1_1,f1_2,f1_3,macro_f1,weighted_f1,f1_1_dip,f1_2_dip,f1_3_dip,macro_f1_dip,weighted_f1_dip,rmse1,rmse5,rmse10,rmse12,rmse15,mae1,mae5,mae10,mae12,mae15,mape1,mape5,mape10,mape12,mape15,x_forecast,c_predicted
GP,15318,70,1,10,1,205.594,0.10413,0.45038,1,0,0,0.33333,1,0.18182,0,0,0.06061,0.01818,0.88622,0.65,0.56938,0.59291,1.11468,0.88622,0.55424,0.47783,0.50761,0.82119,5.62182,3.54942,3.15827,3.48366,6.58142,"[14.87771, 15.20613, 14.78866, 14.74386, 14.5267, 14.39687, 14.2352, 14.09434, 13.95152, 13.81593, 13.68367, 13.55603, 13.43234, 13.31263, 13.19672, 13.08448, 12.97579, 12.87052, 12.76855, 12.66978]","[0.06258, 0.06871, 0.07554, 0.0838, 0.09182, 0.09845, 0.10498, 0.11166, 0.11999, 0.12571, 0.13309, 0.14199, 0.15104, 0.16232, 0.17491, 0.19232, 0.21038, 0.22849, 0.24517, 0.25795, 0.26975, 0.28283, 0.29641, 0.30923, 0.32032, 0.32899, 0.34018, 0.3509, 0.36303, 0.37594, 0.38824, 0.4016, 0.41644, 0.43331, 0.44964, 0.46438, 0.47769, 0.49111, 0.50065, 0.51133, 0.52239, 0.53558, 0.54721, 0.55783, 0.56778, 0.5731, 0.57715, 0.58233, 0.58308, 0.58297, 0.58104, 0.57294, 0.56381, 0.55495, 0.54584, 0.53635, 0.52757, 0.51729, 0.50875, 0.50413, 0.49734, 0.48832, 0.4809, 0.4707, 0.46779, 0.46051, 0.45185, 0.4441, 0.43533, 0.42409]"
ARIMA,15318,70,1,10,1,18.015,,,,,,,,,,,,,0.12146,0.68102,1.24992,1.66029,2.58401,0.12146,0.5174,1.03929,1.35586,2.01741,0.7705,3.4522,7.23035,9.81473,16.28255,"[15.88539, 15.90517, 15.90143, 15.90213, 15.902, 15.90203, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202, 15.90202]",
RandomWalk,15318,70,1,10,1,1.612,,,,,,,,,,,,,0.22608,0.75068,1.32416,1.733,2.65333,0.22608,0.60818,1.12867,1.44501,2.10632,1.43413,4.04237,7.83253,10.42972,16.93185,"[15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99, 15.99]",
LSTM,15318,70,1,10,1,45.266,,,,,,,,,,,,,0.9782,0.72332,0.67557,0.96496,1.8285,0.9782,0.67782,0.55032,0.75734,1.30964,6.20531,4.36333,3.71099,5.40738,10.70998,"[14.78573, 14.85699, 14.78034, 14.80112, 14.75244, 14.75556, 14.74755, 14.74694, 14.74487, 14.74997, 14.75542, 14.75606, 14.75687, 14.75723, 14.75762, 14.75763, 14.75766, 14.75761, 14.75755, 14.75747]",
Alg_c,15318,70,1,10,1,0,0.45038,0.45038,0.99029,0,0,0.3301,0.99029,0.16,0.08696,0,0.08232,0.09304,,,,,,,,,,,,,,,,,"[0.0, 0.50462, 0.71983, 0.0, 0.05983, 0.3803, 0.0, 0.0, 0.06442, 0.44966, 0.37891, 0.02126, 0.0, 0.59871, 0.0, 0.64638, 0.74411, 0.0, 0.0, 0.38263, 0.25221, 0.10275, 0.23156, 0.67764, 1.18738, 0.0, 0.58815, 0.58804, 0.03278, 0.15516, 0.80699, 0.8282, 0.0, 0.9516, 0.0, 0.51331, 0.68579, 0.84422, 0.0, 0.38397, 1.34852, 0.49154, 0.83425, 0.0831, 1.23809, 1.25972, 0.90231, 0.19812, 1.17308, 0.00145, 1.86429, 1.03782, 0.22509, 0.0, 0.0, 0.28307, 0.0, 0.0, 0.43671, 0.01644, 0.42604, 0.76123, 1.12711, 1.08271, 0.11043, 0.43092, 0.0, 0.14162, 0.68429]"
UDE-NN,54133,70,1,10,1,98.771,0.06278,0.15111,1,0,0,0.33333,1,1,0,0,0.33333,1,0.11859,0.57566,0.80384,0.81074,0.96793,0.11859,0.50874,0.71767,0.73695,0.85521,1.08889,4.5837,7.06397,7.10862,7.9201,"[11.00935, 11.21459, 11.12365, 11.04587, 10.96946, 10.89497, 10.82231, 10.75143, 10.68226, 10.61474, 10.54882, 10.48445, 10.42158, 10.36014, 10.30011, 10.24142, 10.18403, 10.1279, 10.07299, 10.01925]","[-0.02686, -0.02149, 0.03419, 0.01367, 0.07096, 0.05419, 0.07491, 0.06311, 0.11475, 0.1258, 0.16654, 0.13041, 0.18322, 0.16329, 0.1666, 0.22083, 0.17761, 0.10335, 0.0956, 0.13968, 0.14905, 0.27165, 0.35516, 0.30702, 0.25671, 0.20611, 0.20342, 0.21545, 0.25123, 0.21794, 0.27381, 0.27264, 0.32051, 0.31406, 0.33998, 0.32526, 0.25771, 0.24932, 0.3161, 0.38803, 0.4072, 0.43628, 0.45948, 0.54653, 0.56276, 0.51512, 0.50659, 0.4513, 0.47947, 0.51541, 0.59205, 0.61995, 0.62704, 0.56652, 0.50831, 0.59468, 0.62603, 0.64774, 0.66342, 0.66064, 0.66733, 0.67605, 0.71069, 0.6899, 0.71921, 0.68144, 0.66403, 0.75698, 0.8105, 0.82251]"
GP,54133,70,1,10,1,221.259,0.02728,0.15111,1,0,0,0.33333,1,1,0,0,0.33333,1,0.196,0.58338,0.856,0.83982,0.9623,0.196,0.5234,0.76744,0.76312,0.85677,1.79969,4.74483,7.57693,7.40128,7.98787,"[11.08676, 11.29187, 11.19856, 11.1231, 11.04854, 10.97596, 10.90522, 10.83628, 10.76907, 10.70354, 10.63962, 10.57727, 10.51643, 10.45705, 10.39909, 10.34249, 10.28722, 10.23322, 10.18046, 10.12889]","[-0.0165, -0.00547, 0.00556, 0.01659, 0.02762, 0.03865, 0.04968, 0.06071, 0.07175, 0.08278, 0.09381, 0.10484, 0.11587, 0.1269, 0.13793, 0.14896, 0.15999, 0.17102, 0.18205, 0.19308, 0.20411, 0.21514, 0.22617, 0.2372, 0.24824, 0.25927, 0.2703, 0.28133, 0.29236, 0.30339, 0.31442, 0.32545, 0.33648, 0.34751, 0.35854, 0.36957, 0.3806, 0.39164, 0.40267, 0.4137, 0.42473, 0.43576, 0.44679, 0.45782, 0.46885, 0.47988, 0.49091, 0.50194, 0.51298, 0.52401, 0.53504, 0.54607, 0.5571, 0.56813, 0.57916, 0.59019, 0.60122, 0.61225, 0.62328, 0.63431, 0.64534, 0.65637, 0.6674, 0.67843, 0.68947, 0.7005, 0.71153, 0.72256, 0.73359, 0.74462]"
ARIMA,54133,70,1,10,1,18.692,,,,,,,,,,,,,1.86249,1.77482,2.427,2.28813,2.11684,1.86249,1.70211,2.31115,2.15875,1.93857,17.10155,15.64368,22.75166,21.0123,18.67333,"[12.75325, 12.74558, 12.74693, 12.74669, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673, 12.74673]",
RandomWalk,54133,70,1,10,1,1.214,,,,,,,,,,,,,1.81887,1.73814,2.39129,2.2528,2.0826,1.81887,1.66391,2.2735,2.12119,1.9011,16.70103,15.29699,22.38935,20.65589,18.32457,"[12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963, 12.70963]",
LSTM,54133,70,1,10,1,46.026,,,,,,,,,,,,,0.10989,0.70064,0.70117,1.1821,1.86883,0.10989,0.48284,0.55735,0.86928,1.38231,1.00904,4.18343,5.35453,8.02699,12.29851,"[11.00065, 10.74791, 10.56416, 10.60439, 10.50559, 10.34453, 10.3766, 10.36968, 10.39731, 9.36258, 8.97888, 8.86318, 8.76739, 8.3655, 7.63047, 7.16376, 7.14547, 9.03785, 9.60156, 9.83994]",
Alg_c,54133,70,1,10,1,0,0.15111,0.15111,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.18868, 0.0, 0.22564, 0.0, 0.14325, 0.0, 0.18441, 0.0799, 0.31489, 0.0, 0.30849, 0.12336, 0.07356, 0.41279, 0.24801, 0.0, 0.0, 0.22553, 0.0, 0.34553, 0.62237, 0.28718, 0.2676, 0.11076, 0.20204, 0.134, 0.43607, 0.01563, 0.3983, 0.1637, 0.4424, 0.24069, 0.4186, 0.41875, 0.1348, 0.08779, 0.30565, 0.49779, 0.3882, 0.44899, 0.32989, 0.66983, 0.68863, 0.41038, 0.61477, 0.27453, 0.48427, 0.41737, 0.70743, 0.66527, 0.76425, 0.55424, 0.2302, 0.66646, 0.6412, 0.66021, 0.69956, 0.64356, 0.65554, 0.63616, 0.80278, 0.62281, 0.8457, 0.60186, 0.43076, 0.81818, 0.9072]"
UDE-NN,46984,70,1,10,1,99.409,0.09899,0.23875,1,0,0,0.33333,1,1,0,0,0.33333,1,0.31478,0.81599,1.34284,1.32142,1.43858,0.31478,0.61959,1.16036,1.16681,1.29885,8.50723,11.98874,19.00826,18.88633,19.98326,"[4.01492, 4.06084, 4.14397, 4.2542, 4.38372, 4.52608, 4.67586, 4.82852, 4.98048, 5.12904, 5.27239, 5.40944, 5.53972, 5.66316, 5.77998, 5.89053, 5.99524, 6.09454, 6.18884, 6.2785]","[0.00133, 0.16208, 0.10959, 0.19449, 0.18467, 0.13099, 0.08118, 0.07875, 0.00787, 0.00868, 0.08951, 0.19333, 0.23928, 0.14795, 0.04979, 0.09332, 0.09026, 0.2041, 0.21954, 0.27098, 0.24408, 0.03514, -0.03669, 0.04844, 0.19739, 0.22353, 0.08959, 0.09065, 0.1869, 0.30121, 0.36618, 0.36786, 0.316, 0.31151, 0.26381, 0.23558, 0.27215, 0.27623, 0.21968, 0.21604, 0.25014, 0.27894, 0.2759, 0.38224, 0.5507, 0.54369, 0.62226, 0.68382, 0.5703, 0.54588, 0.49347, 0.44483, 0.39667, 0.40434, 0.45556, 0.53684, 0.55149, 0.5405, 0.54188, 0.64357, 0.70189, 0.66185, 0.60458, 0.59357, 0.63352, 0.59955, 0.63031, 0.69267, 0.65788, 0.66752]"
GP,46984,70,1,10,1,220.289,0.01604,0.23875,1,0,0,0.33333,1,1,0,0,0.33333,1,0.32164,0.80231,1.32187,1.29959,1.41593,0.32164,0.60662,1.14059,1.14584,1.27687,8.69264,11.73612,18.67845,18.54264,19.63879,"[4.02178, 4.07309, 4.16056, 4.27428, 4.40654, 4.55093, 4.70208, 4.85555, 5.00785, 5.15642, 5.29954, 5.43624, 5.56612, 5.68916, 5.80562, 5.91587, 6.02034, 6.11947, 6.21365, 6.30325]","[0.01199, 0.02138, 0.03078, 0.04017, 0.04957, 0.05896, 0.06836, 0.07775, 0.08715, 0.09654, 0.10594, 0.11533, 0.12473, 0.13412, 0.14352, 0.15291, 0.1623, 0.1717, 0.18109, 0.19049, 0.19988, 0.20928, 0.21867, 0.22807, 0.23746, 0.24686, 0.25625, 0.26565, 0.27504, 0.28444, 0.29383, 0.30323, 0.31262, 0.32202, 0.33141, 0.34081, 0.3502, 0.3596, 0.36899, 0.37839, 0.38778, 0.39718, 0.40657, 0.41597, 0.42536, 0.43476, 0.44416, 0.45355, 0.46295, 0.47234, 0.48173, 0.49113, 0.50052, 0.50992, 0.51931, 0.52871, 0.5381, 0.5475, 0.55689, 0.56629, 0.57568, 0.58508, 0.59447, 0.60387, 0.61326, 0.62266, 0.63205, 0.64145, 0.65084, 0.66023]"
ARIMA,46984,70,1,10,1,18.532,,,,,,,,,,,,,0.3206,1.01246,1.91883,2.03325,2.39124,0.3206,0.77271,1.64055,1.787,2.12304,8.66454,14.91178,26.63098,28.60091,32.13532,"[4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074]",
RandomWalk,46984,70,1,10,1,1.183,,,,,,,,,,,,,0.3206,1.01246,1.91883,2.03325,2.39124,0.3206,0.77271,1.64055,1.787,2.12304,8.66454,14.91178,26.63098,28.60091,32.13532,"[4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074, 4.02074]",
LSTM,46984,70,1,10,1,47.81,,,,,,,,,,,,,0.51704,2.25578,3.39356,3.5454,3.92174,0.51704,1.98469,3.10758,3.29263,3.6654,13.97356,39.91738,52.3358,54.35577,57.25378,"[3.1831, 2.8664, 2.60118, 2.41968, 2.33223, 2.29818, 2.29005, 2.29352, 2.30163, 2.30995, 2.31903, 2.32508, 2.32927, 2.33187, 2.33333, 2.33404, 2.33432, 2.33437, 2.33431, 2.33422]",
Alg_c,46984,70,1,10,1,0,0.23875,0.23875,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.0, 0.58728, 0.0, 0.41059, 0.26887, 0.13385, 0.0, 0.24202, 0.0, 0.0, 0.0551, 0.32694, 0.52451, 0.18206, 0.0, 0.22544, 0.0, 0.45618, 0.07627, 0.41109, 0.61226, 0.0, 0.0, 0.0, 0.48182, 0.56596, 0.0, 0.0, 0.11769, 0.40574, 0.50338, 0.47683, 0.23128, 0.39417, 0.22014, 0.09995, 0.3548, 0.41134, 0.10409, 0.13907, 0.25667, 0.35329, 0.0547, 0.19344, 1.00009, 0.27606, 0.58695, 1.15345, 0.21906, 0.67655, 0.4664, 0.47567, 0.28334, 0.34302, 0.37899, 0.68842, 0.58989, 0.56295, 0.2579, 0.75725, 0.90621, 0.67564, 0.50416, 0.42807, 0.93975, 0.34848, 0.4991, 1.06286, 0.43971]"
UDE-NN,24415,70,1,10,1,100.959,0.12005,0.2608,1,0,0,0.33333,1,1,0,0,0.33333,1,0.52152,0.85569,0.75374,0.76335,0.72292,0.52152,0.80779,0.68068,0.6992,0.64514,5.50692,8.32267,7.38348,7.76223,7.23539,"[8.94882, 9.02416, 9.03746, 9.03971, 9.03987, 9.03941, 9.03858, 9.03744, 9.036, 9.03427, 9.03225, 9.02997, 9.02741, 9.0246, 9.02154, 9.01824, 9.0147, 9.01093, 9.00693, 9.00273]","[0.01884, 0.01274, 0.17137, 0.28409, 0.33102, 0.24933, 0.28186, 0.30484, 0.17905, 0.16577, 0.13738, -0.00218, 0.03003, 0.21137, 0.24641, 0.25641, 0.29789, 0.2591, 0.31382, 0.35891, 0.22485, 0.25774, 0.25839, 0.21203, 0.13791, 0.12046, 0.08805, 0.16523, 0.21889, 0.31141, 0.32943, 0.38338, 0.41903, 0.36606, 0.28987, 0.41668, 0.42093, 0.36749, 0.46106, 0.45052, 0.42438, 0.3842, 0.24348, 0.23843, 0.28722, 0.40397, 0.51697, 0.59235, 0.66959, 0.66498, 0.61203, 0.47018, 0.57376, 0.65639, 0.65712, 0.73265, 0.77449, 0.76544, 0.58396, 0.52257, 0.39196, 0.4871, 0.55562, 0.615, 0.70421, 0.69423, 0.60602, 0.60322, 0.59593, 0.60449]"
GP,24415,70,1,10,1,212.339,0.05675,0.2608,1,0,0,0.33333,1,1,0,0,0.33333,1,0.58338,0.90439,0.77466,0.76912,0.72096,0.58338,0.84959,0.69462,0.69907,0.64039,6.16004,8.72006,7.47958,7.6996,7.12597,"[8.88697, 8.95115, 8.96369, 8.96631, 8.96688, 8.96682, 8.96637, 8.96561, 8.96455, 8.96319, 8.96155, 8.95963, 8.95745, 8.955, 8.95231, 8.94937, 8.94619, 8.94278, 8.93915, 8.93531]","[0.10758, 0.11569, 0.1238, 0.13191, 0.14002, 0.14813, 0.15624, 0.16435, 0.17245, 0.18056, 0.18867, 0.19678, 0.20489, 0.21301, 0.22112, 0.22923, 0.23734, 0.24545, 0.25356, 0.26167, 0.26978, 0.27789, 0.286, 0.29411, 0.30222, 0.31033, 0.31844, 0.32655, 0.33466, 0.34277, 0.35088, 0.35899, 0.3671, 0.37521, 0.38332, 0.39143, 0.39954, 0.40765, 0.41576, 0.42387, 0.43198, 0.44009, 0.4482, 0.45632, 0.46443, 0.47254, 0.48065, 0.48876, 0.49687, 0.50498, 0.51309, 0.5212, 0.52931, 0.53742, 0.54553, 0.55364, 0.56175, 0.56986, 0.57797, 0.58608, 0.59419, 0.6023, 0.61041, 0.61852, 0.62663, 0.63474, 0.64285, 0.65096, 0.65907, 0.66718]"
ARIMA,24415,70,1,10,1,19.527,,,,,,,,,,,,,0.47453,0.4539,1.97112,2.53041,3.09307,0.47453,0.33568,1.43745,1.92419,2.47698,5.01069,3.74219,16.68915,22.72688,29.10606,"[8.99582, 9.29173, 9.61077, 9.94837, 10.29985, 10.66045, 11.02542, 11.39008, 11.74985, 12.10034, 12.43737, 12.75703, 13.05573, 13.33023, 13.57767, 13.7956, 13.98199, 14.13527, 14.25433, 14.33849]",
RandomWalk,24415,70,1,10,1,1.157,,,,,,,,,,,,,0.87175,1.1802,0.9548,0.88653,0.80929,0.87175,1.05697,0.80512,0.73082,0.64491,9.205,10.69285,8.42239,7.75269,6.89815,"[8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986, 8.5986]",
LSTM,24415,70,1,10,1,44.512,,,,,,,,,,,,,1.68548,1.76881,2.14645,2.52799,2.83219,1.68548,1.60062,1.97049,2.29354,2.58974,17.79741,17.34968,22.25588,26.46377,29.9811,"[11.15583, 11.37972, 11.20184, 11.12241, 11.06333, 11.00659, 10.9999, 11.02743, 11.15491, 11.74296, 12.15059, 12.14568, 12.17225, 12.3277, 12.72276, 13.22648, 13.62455, 13.83422, 13.99403, 14.13854]",
Alg_c,24415,70,1,10,1,0,0.2608,0.2608,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.04616, 0.0, 0.28912, 0.42503, 0.61836, 0.0, 0.33363, 0.61826, 0.0, 0.2237, 0.33973, 0.0, 0.0, 0.48922, 0.29248, 0.20782, 0.456, 0.07273, 0.33203, 0.69412, 0.0, 0.31465, 0.36778, 0.27504, 0.03347, 0.0926, 0.0, 0.16573, 0.16663, 0.45827, 0.25877, 0.42291, 0.60278, 0.3605, 0.0, 0.65028, 0.49133, 0.09729, 0.63675, 0.50563, 0.50699, 0.56686, 0.0, 0.0, 0.1125, 0.40071, 0.59945, 0.64979, 0.86171, 0.78461, 0.78218, 0.0, 0.58638, 0.83122, 0.50762, 0.78933, 0.85017, 1.13618, 0.29033, 0.71715, 0.0, 0.54311, 0.57401, 0.50944, 0.9196, 0.86371, 0.39394, 0.63102, 0.56151]"
UDE-NN,29623,70,1,10,1,101.063,0.11509,0.22104,1,0,0,0.33333,1,1,0,0,0.33333,1,0.97382,0.98508,0.77812,1.07487,1.2043,0.97382,0.73488,0.55592,0.78497,0.94745,7.77928,5.73434,4.61067,7.50941,9.55999,"[11.54436, 11.60125, 11.49722, 11.41133, 11.32621, 11.24347, 11.16289, 11.0844, 11.00794, 10.93344, 10.86084, 10.79006, 10.72106, 10.65377, 10.58814, 10.5241, 10.46162, 10.40063, 10.34109, 10.28294]","[0.02548, 0.06531, 0.00039, -0.00382, 0.03952, 0.02893, -0.0375, -0.12359, -0.11171, -0.02064, -0.08709, 0.02402, 0.1167, 0.17667, 0.14889, 0.22201, 0.16102, 0.17067, 0.21255, 0.22121, 0.12345, 0.06648, 0.14599, 0.17422, 0.25436, 0.39877, 0.39652, 0.35862, 0.30994, 0.37446, 0.3443, 0.38257, 0.29502, 0.24957, 0.23565, 0.25712, 0.31232, 0.35998, 0.41133, 0.43044, 0.38913, 0.28326, 0.22371, 0.34321, 0.33611, 0.31259, 0.31501, 0.50063, 0.52494, 0.63359, 0.68341, 0.67945, 0.66772, 0.6256, 0.63179, 0.68639, 0.76003, 0.76776, 0.79773, 0.8463, 0.85985, 0.78109, 0.81031, 0.77577, 0.69834, 0.54276, 0.54913, 0.66976, 0.77432, 0.78512]"
GP,29623,70,1,10,1,222.71,0.04284,0.22104,1,0,0,0.33333,1,1,0,0,0.33333,1,0.96225,0.97741,0.77409,1.07435,1.20533,0.96225,0.72496,0.55217,0.78291,0.94686,7.68681,5.65311,4.58207,7.49757,9.56229,"[11.55593, 11.6114, 11.50682, 11.42063, 11.33515, 11.25204, 11.17108, 11.09221, 11.01536, 10.94046, 10.86744, 10.79625, 10.72683, 10.6591, 10.59303, 10.52854, 10.4656, 10.40414, 10.34412, 10.2855]","[-0.02026, -0.00876, 0.00274, 0.01425, 0.02575, 0.03725, 0.04875, 0.06026, 0.07176, 0.08326, 0.09476, 0.10627, 0.11777, 0.12927, 0.14077, 0.15228, 0.16378, 0.17528, 0.18679, 0.19829, 0.20979, 0.22129, 0.2328, 0.2443, 0.2558, 0.26731, 0.27881, 0.29031, 0.30181, 0.31332, 0.32482, 0.33632, 0.34783, 0.35933, 0.37083, 0.38233, 0.39384, 0.40534, 0.41684, 0.42835, 0.43985, 0.45135, 0.46286, 0.47436, 0.48586, 0.49736, 0.50887, 0.52037, 0.53187, 0.54338, 0.55488, 0.56638, 0.57789, 0.58939, 0.60089, 0.61239, 0.6239, 0.6354, 0.6469, 0.6584, 0.66991, 0.68141, 0.69291, 0.70442, 0.71592, 0.72742, 0.73892, 0.75043, 0.76193, 0.77343]"
ARIMA,29623,70,1,10,1,18.947,,,,,,,,,,,,,2.65912,2.4616,1.92622,1.81157,1.6653,2.65912,2.35189,1.71605,1.59068,1.43296,21.24207,18.98721,14.35855,13.82056,12.85322,"[9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906]",
RandomWalk,29623,70,1,10,1,1.19,,,,,,,,,,,,,2.65912,2.4616,1.92622,1.81157,1.6653,2.65912,2.35189,1.71605,1.59068,1.43296,21.24207,18.98721,14.35855,13.82056,12.85322,"[9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906, 9.85906]",
LSTM,29623,70,1,10,1,46.315,,,,,,,,,,,,,3.89387,3.69223,2.72494,2.56164,2.30459,3.89387,3.59374,2.29043,2.14386,1.81512,31.10572,29.16622,19.02313,18.55226,15.96055,"[8.62431, 8.43866, 8.17517, 8.70396, 9.14393, 9.6836, 9.73904, 9.89894, 10.2146, 10.22468, 10.25989, 10.35256, 9.80995, 9.24524, 9.2892, 9.73399, 9.94243, 9.78718, 9.57155, 9.36098]",
Alg_c,29623,70,1,10,1,0,0.22104,0.22104,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.0, 0.28193, 0.0, 0.0, 0.14722, 0.13828, 0.03082, 0.0, 0.0, 0.33948, 0.0, 0.09572, 0.18358, 0.38024, 0.0, 0.55326, 0.0, 0.09764, 0.28674, 0.45055, 0.04319, 0.0, 0.26332, 0.05437, 0.10443, 0.6997, 0.45485, 0.35715, 0.08306, 0.56632, 0.17538, 0.65832, 0.19228, 0.19792, 0.16855, 0.19077, 0.3303, 0.35337, 0.47753, 0.55152, 0.51555, 0.18153, 0.0, 0.61493, 0.32033, 0.25589, 0.0, 0.86112, 0.32743, 0.74873, 0.7821, 0.67827, 0.73424, 0.52677, 0.54084, 0.63687, 0.90824, 0.72371, 0.75807, 0.93292, 1.05734, 0.56502, 0.92439, 0.86032, 0.84367, 0.18769, 0.26115, 0.71375, 0.96779]"
UDE-NN,52212,70,1,10,1,96.645,0.12706,0.28489,1,0,0,0.33333,1,1,0,0,0.33333,1,0.02281,0.24285,1.03852,1.19678,1.59891,0.02281,0.18925,0.76574,0.92908,1.27221,0.55025,5.69899,15.68522,17.96324,21.72081,"[4.16774, 3.7905, 3.59738, 3.50614, 3.48157, 3.50534, 3.56643, 3.65734, 3.7722, 3.90595, 4.05383, 4.21132, 4.37409, 4.53825, 4.70044, 4.85803, 5.00914, 5.15267, 5.28811, 5.41545]","[-0.29038, -0.12129, -0.23697, -0.16513, -0.17286, -0.13808, 0.0255, 0.13996, 0.14941, 0.26105, 0.2443, 0.10061, 0.12307, 0.05339, 0.02464, -0.03019, -0.09309, -0.23121, -0.00337, 0.10834, 0.27719, 0.21843, 0.20432, 0.27507, 0.28624, 0.24223, 0.37434, 0.32294, 0.23655, 0.25804, 0.1431, 0.08775, 0.13851, 0.17321, 0.31043, 0.44621, 0.50731, 0.52699, 0.45207, 0.39545, 0.27168, 0.41055, 0.54807, 0.52308, 0.35706, 0.49061, 0.38315, 0.50068, 0.64773, 0.57532, 0.59181, 0.64648, 0.60818, 0.44667, 0.35109, 0.40577, 0.53152, 0.62151, 0.60394, 0.50089, 0.49012, 0.60232, 0.63869, 0.58557, 0.66308, 0.69888, 0.69116, 0.56711, 0.60854, 0.62166]"
GP,52212,70,1,10,1,211.447,0.04067,0.28489,1,0,0,0.33333,1,1,0,0,0.33333,1,0.06199,0.24477,1.25808,1.44581,1.86251,0.06199,0.1957,0.93208,1.12932,1.50115,1.49556,5.4953,18.85405,21.65917,25.63911,"[4.08294, 3.65568, 3.42145, 3.29324, 3.23451, 3.22681, 3.25957, 3.32611, 3.42159, 3.54202, 3.68353, 3.8421, 4.01337, 4.19273, 4.37554, 4.55744, 4.73472, 4.90455, 5.06508, 5.21539]","[-0.07725, -0.06584, -0.05444, -0.04303, -0.03162, -0.02022, -0.00881, 0.0026, 0.014, 0.02541, 0.03682, 0.04822, 0.05963, 0.07104, 0.08245, 0.09385, 0.10526, 0.11667, 0.12807, 0.13948, 0.15089, 0.1623, 0.1737, 0.18511, 0.19652, 0.20792, 0.21933, 0.23074, 0.24215, 0.25355, 0.26496, 0.27637, 0.28777, 0.29918, 0.31059, 0.322, 0.3334, 0.34481, 0.35622, 0.36763, 0.37903, 0.39044, 0.40185, 0.41325, 0.42466, 0.43607, 0.44748, 0.45888, 0.47029, 0.4817, 0.4931, 0.50451, 0.51592, 0.52733, 0.53873, 0.55014, 0.56155, 0.57295, 0.58436, 0.59577, 0.60717, 0.61858, 0.62999, 0.64139, 0.6528, 0.66421, 0.67561, 0.68702, 0.69843, 0.70983]"
ARIMA,52212,70,1,10,1,18.591,,,,,,,,,,,,,1.08923,1.60965,1.23261,1.17675,1.3922,1.08923,1.56973,1.02527,0.97112,1.17777,26.27853,44.89933,27.71819,24.98964,25.53632,"[5.23416, 5.15896, 5.18442, 5.1758, 5.17872, 5.17773, 5.17806, 5.17795, 5.17799, 5.17798, 5.17798, 5.17798, 5.17798, 5.17798, 5.17798, 5.17798, 5.17798, 5.17798, 5.17798, 5.17798]",
RandomWalk,52212,70,1,10,1,1.103,,,,,,,,,,,,,0.86712,1.44344,1.11974,1.09855,1.39083,0.86712,1.39536,0.93198,0.92103,1.17089,20.91993,40.06269,25.01776,23.21278,24.57805,"[5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205, 5.01205]",
